"Valimissündmus";"Jaoskonna number";"KOV või linnaosa";"Valimisringkond";"Jaoskonnas saavad hääletada ka teise ringkonda kuuluvad valijad";"Jaoskond korraldab kodus hääletamist";"Ära näita jaoskonda kaardirakendusel";"Jaoskonna telefoninumber";"E-posti aadress";"Valimiskasti koju tellimise telefoninumber";"Asukoha nimetus";"address";"Ligipääsetavus on olemas";"Info ligipääsetavuse kohta";"Valimispäev või eelhääletamine";"Kellaajad";"Valimispäev või eelhääletamise päev"
"RK_2023";"1";"Haabersti linnaosa";"Valimisringkond nr 1 – Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa";"false";"false";"false";"0037258887001";"Haabersti.elukoht@tallinnlv.ee";"003726404815";"Tallinna Õismäe Vene Lütseum";"Õismäe tee 28, Haabersti linnaosa, Tallinn, Harju maakond";"true";"Sissepääs võimalik ratastooli ja lapsevankriga. Välisukse juures teisaldatavad relsid., Palun helistage jaoskonna telefoninumbril, Teid abistatakse vajadusel., Parkla asub maja taga.";"E";"12:00 - 20:00";"2023-03-03 - 2023-03-04"
"RK_2023";"1";"Haabersti linnaosa";"Valimisringkond nr 1 – Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa";"false";"false";"false";"0037258887001";"Haabersti.elukoht@tallinnlv.ee";"003726404815";"Tallinna Õismäe Vene Lütseum";"Õismäe tee 28, Haabersti linnaosa, Tallinn, Harju maakond";"true";"Sissepääs võimalik ratastooli ja lapsevankriga. Välisukse juures teisaldatavad relsid., Palun helistage jaoskonna telefoninumbril, Teid abistatakse vajadusel., Parkla asub maja taga.";"V";"09:00 - 20:00";"2023-03-05 - 2023-03-05"
"RK_2023";"2";"Haabersti linnaosa";"Valimisringkond nr 1 – Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa";"false";"false";"false";"0037258887002";"Haabersti.elukoht@tallinnlv.ee";"003726404815";"Haabersti Vene Gümnaasium";"Õismäe tee 132, Haabersti linnaosa, Tallinn, Harju maakond";"false";"";"E";"12:00 - 20:00";"2023-03-03 - 2023-03-04"
"RK_2023";"2";"Haabersti linnaosa";"Valimisringkond nr 1 – Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa";"false";"false";"false";"0037258887002";"Haabersti.elukoht@tallinnlv.ee";"003726404815";"Haabersti Vene Gümnaasium";"Õismäe tee 132, Haabersti linnaosa, Tallinn, Harju maakond";"false";"";"V";"09:00 - 20:00";"2023-03-05 - 2023-03-05"
"RK_2023";"3";"Haabersti linnaosa";"Valimisringkond nr 1 – Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa";"false";"false";"false";"0037258887003";"Haabersti.elukoht@tallinnlv.ee";"003726404815";"Tallinna Mustjõe Gümnaasium";"Paldiski mnt 83, Haabersti linnaosa, Tallinn, Harju maakond";"true";"Sissepääs võimalik ratastooli ja lapsevankriga., Erilahendused pimedale ja vaegnägijale – juhtnuppude reljeefsus või punktkiri, kontrastsus ja juhtteed., Parkla asub maja kõrval.";"E";"12:00 - 20:00";"2023-03-03 - 2023-03-04"
"RK_2023";"3";"Haabersti linnaosa";"Valimisringkond nr 1 – Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa";"false";"false";"false";"0037258887003";"Haabersti.elukoht@tallinnlv.ee";"003726404815";"Tallinna Mustjõe Gümnaasium";"Paldiski mnt 83, Haabersti linnaosa, Tallinn, Harju maakond";"true";"Sissepääs võimalik ratastooli ja lapsevankriga., Erilahendused pimedale ja vaegnägijale – juhtnuppude reljeefsus või punktkiri, kontrastsus ja juhtteed., Parkla asub maja kõrval.";"V";"09:00 - 20:00";"2023-03-05 - 2023-03-05"
"RK_2023";"4";"Haabersti linnaosa";"Valimisringkond nr 1 – Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa";"false";"false";"false";"0037258887004";"Haabersti.elukoht@tallinnlv.ee";"003726404815";"Tallinna Järveotsa Gümnaasium";"Järveotsa tee 31, Haabersti linnaosa, Tallinn, Harju maakond";"true";"Sissepääs võimalik ratastooli ja lapsevankriga. Õuest võimalik siseneda lifti. Palun helistage jaoskonna telefoninumbril, Teid abistatakse. Parkla asub maja kõrval.";"E";"12:00 - 20:00";"2023-03-03 - 2023-03-04"
"RK_2023";"4";"Haabersti linnaosa";"Valimisringkond nr 1 – Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa";"false";"false";"false";"0037258887004";"Haabersti.elukoht@tallinnlv.ee";"003726404815";"Tallinna Järveotsa Gümnaasium";"Järveotsa tee 31, Haabersti linnaosa, Tallinn, Harju maakond";"true";"Sissepääs võimalik ratastooli ja lapsevankriga. Õuest võimalik siseneda lifti. Palun helistage jaoskonna telefoninumbril, Teid abistatakse. Parkla asub maja kõrval.";"V";"09:00 - 20:00";"2023-03-05 - 2023-03-05"
"RK_2023";"5";"Haabersti linnaosa";"Valimisringkond nr 1 – Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa";"false";"true";"false";"0037258887005";"Haabersti.elukoht@tallinnlv.ee";"003726404815";"Haabersti Linnaosa Valitsuse hoone";"Ehitajate tee 109a, Haabersti linnaosa, Tallinn, Harju maakond";"true";"Sissepääs võimalik ratastooli ja lapsevankriga. Kaldtee ˃= 10%. Palun helistage jaoskonna telefoninumbril, Teid abistatakse. Parkla asub maja kõrval.";"E";"12:00 - 20:00";"2023-03-03 - 2023-03-04"
"RK_2023";"5";"Haabersti linnaosa";"Valimisringkond nr 1 – Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa";"false";"true";"false";"0037258887005";"Haabersti.elukoht@tallinnlv.ee";"003726404815";"Haabersti Linnaosa Valitsuse hoone";"Ehitajate tee 109a, Haabersti linnaosa, Tallinn, Harju maakond";"true";"Sissepääs võimalik ratastooli ja lapsevankriga. Kaldtee ˃= 10%. Palun helistage jaoskonna telefoninumbril, Teid abistatakse. Parkla asub maja kõrval.";"V";"09:00 - 20:00";"2023-03-05 - 2023-03-05"
