forename,surname,party_name,candidate_reg_number,candidate_id,candidate_votes,district_number,quota,vrd,v1,v2,v3,elected,reserved
KAJA,KALLAS,Eesti Reformierakond,821,10445,31816,4,4.8212,0.0000,true,false,false,true,false
KRISTEN,MICHAL,Eesti Reformierakond,784,10423,9214,1,1.4955,0.0000,true,false,false,true,false
URMAS,PAET,Eesti Reformierakond,811,10460,9154,3,1.4336,0.0000,true,false,false,true,false
URMAS,KLAAS,Eesti Reformierakond,880,10429,8065,10,1.3149,0.0000,true,false,false,true,false
SIIM,KALLAS,Eesti Reformierakond,796,10452,7393,2,1.2847,0.0000,true,false,false,true,false
HANNO,PEVKUR,Eesti Reformierakond,847,10359,6567,6,1.1612,0.0000,true,false,false,true,false
URMAS,KRUUSE,Eesti Reformierakond,871,10425,6235,9,0.9308,0.0000,false,true,false,true,false
JÜRGEN,LIGI,Eesti Reformierakond,862,10327,5797,8,1.0326,0.0000,true,false,false,true,false
SIGNE,RIISALO,Eesti Reformierakond,785,10346,4523,1,0.7341,0.0000,false,true,false,true,false
ANNELY,AKKERMANN,Eesti Reformierakond,901,10457,4381,12,0.6990,0.0000,false,true,false,true,false
KALLE,LAANET,Eesti Reformierakond,839,10337,4347,5,0.7274,0.0000,false,true,false,true,false
HEIDY,PURGA,Eesti Reformierakond,797,10395,4161,2,0.7230,0.0000,false,true,false,true,false
TOOMAS,KIVIMÄGI,Eesti Reformierakond,900,10453,4099,12,0.6540,0.0000,false,true,false,true,false
MARIS,LAURI,Eesti Reformierakond,812,10373,4085,3,0.6397,0.0000,false,true,false,true,false
LIINA,KERSNA,Eesti Reformierakond,890,10315,4073,11,0.7338,0.0000,false,true,false,true,false
KARMEN,JOLLER,Eesti Reformierakond,799,10454,3566,2,0.6197,0.0000,false,true,false,true,false
ANDRES,SUTT,Eesti Reformierakond,798,10411,3315,2,0.5760,0.0000,false,true,false,true,false
LUISA,RÕIVAS,Eesti Reformierakond,872,10404,2939,9,0.4387,0.0000,false,true,false,true,false
MARKO,MIHKELSON,Eesti Reformierakond,822,10424,2640,4,0.4001,0.0000,false,true,false,true,false
PIPI-LIIS,SIEMANN,Eesti Reformierakond,863,10330,2498,8,0.4450,0.0000,false,true,false,true,false
URVE,TIIDUS,Eesti Reformierakond,840,10357,2085,5,0.3489,6891.9451,false,false,false,false,true
YOKO,ALENDER,Eesti Reformierakond,881,10421,2051,10,0.3344,0.0000,false,true,false,true,false
ANTS,LAANEOTS,Eesti Reformierakond,882,10463,1869,10,0.3047,0.0000,false,true,false,true,false
TOOMAS,JÄRVEOJA,Eesti Reformierakond,874,10334,1688,9,0.2520,6198.7560,false,false,false,false,true
MAIDO,RUUSMANN,Eesti Reformierakond,892,10436,1500,11,0.2703,0.0000,false,true,false,true,false
PÄRTEL-PEETER,PERE,Eesti Reformierakond,788,10426,1474,1,0.2392,0.0000,false,true,false,true,false
ERKKI,KELDO,Eesti Reformierakond,873,10459,1445,9,0.2157,8669.0255,false,false,true,true,false
EERIK-NIILES,KROSS,Eesti Reformierakond,891,10409,1428,11,0.2573,8424.8237,false,false,true,true,false
MEELIS,KIILI,Eesti Reformierakond,854,10323,1289,7,0.2618,0.0000,false,true,false,true,false
SIGNE,KIVI,Eesti Reformierakond,885,10366,1286,10,0.2097,7977.4626,false,false,true,true,false
AIVAR,SÕERD,Eesti Reformierakond,824,10355,1248,4,0.1891,0.0000,false,true,false,true,false
