ONIMI,OKOOD,MNIMI,MKOOD,TYYP
Ruhnu vald,"0689",Saare maakond,"0074","1"
Muhu vald,"0478",Saare maakond,"0074","1"
Viimsi vald,"0890",Harju maakond,"0037","1"
Saaremaa vald,"0714",Saare maakond,"0074","1"
Hiiumaa vald,"0205",Hiiu maakond,"0039","1"
Kihnu vald,"0303",Pärnu maakond,"0068","1"
Vormsi vald,"0907",Lääne maakond,"0056","1"
Viljandi linn,"0897",Viljandi maakond,"0084","4"
Tallinn,"0784",Harju maakond,"0037","4"
Jõhvi vald,"0251",Ida-Viru maakond,"0045","1"
Kohtla-Järve linn,"0321",Ida-Viru maakond,"0045","4"
Rakvere linn,"0663",Lääne-Viru maakond,"0060","4"
Lääneranna vald,"0430",Pärnu maakond,"0068","1"
Kadrina vald,"0272",Lääne-Viru maakond,"0060","1"
Sillamäe linn,"0736",Ida-Viru maakond,"0045","4"
Keila linn,"0296",Harju maakond,"0037","4"
Toila vald,"0803",Ida-Viru maakond,"0045","1"
Haapsalu linn,"0184",Lääne maakond,"0056","4"
Harku vald,"0198",Harju maakond,"0037","1"
Tori vald,"0809",Pärnu maakond,"0068","1"
Kuusalu vald,"0353",Harju maakond,"0037","1"
Loksa linn,"0424",Harju maakond,"0037","4"
Raasiku vald,"0651",Harju maakond,"0037","1"
Narva linn,"0511",Ida-Viru maakond,"0045","4"
Kohila vald,"0317",Rapla maakond,"0071","1"
Rakvere vald,"0661",Lääne-Viru maakond,"0060","1"
Maardu linn,"0446",Harju maakond,"0037","4"
Võru linn,"0919",Võru maakond,"0087","4"
Räpina vald,"0708",Põlva maakond,"0064","1"
Narva-Jõesuu linn,"0515",Ida-Viru maakond,"0045","4"
Tapa vald,"0792",Lääne-Viru maakond,"0060","1"
Anija vald,"0141",Harju maakond,"0037","1"
Peipsiääre vald,"0586",Tartu maakond,"0079","1"
Kanepi vald,"0284",Põlva maakond,"0064","1"
Jõelähtme vald,"0245",Harju maakond,"0037","1"
Rae vald,"0653",Harju maakond,"0037","1"
Kehtna vald,"0293",Rapla maakond,"0071","1"
Saue vald,"0725",Harju maakond,"0037","1"
Kastre vald,"0291",Tartu maakond,"0079","1"
Mustvee vald,"0486",Jõgeva maakond,"0050","1"
Alutaguse vald,"0130",Ida-Viru maakond,"0045","1"
Jõgeva vald,"0247",Jõgeva maakond,"0050","1"
Paide linn,"0567",Järva maakond,"0052","4"
Järva vald,"0255",Järva maakond,"0052","1"
Väike-Maarja vald,"0928",Lääne-Viru maakond,"0060","1"
Setomaa vald,"0732",Võru maakond,"0087","1"
Võru vald,"0917",Võru maakond,"0087","1"
Saarde vald,"0712",Pärnu maakond,"0068","1"
Põhja-Sakala vald,"0615",Viljandi maakond,"0084","1"
Nõo vald,"0528",Tartu maakond,"0079","1"
Kambja vald,"0283",Tartu maakond,"0079","1"
Pärnu linn,"0624",Pärnu maakond,"0068","4"
Saku vald,"0719",Harju maakond,"0037","1"
Häädemeeste vald,"0214",Pärnu maakond,"0068","1"
Luunja vald,"0432",Tartu maakond,"0079","1"
Antsla vald,"0142",Võru maakond,"0087","1"
Otepää vald,"0557",Valga maakond,"0081","1"
Põlva vald,"0622",Põlva maakond,"0064","1"
Tõrva vald,"0824",Valga maakond,"0081","1"
Kiili vald,"0305",Harju maakond,"0037","1"
Lüganuse vald,"0442",Ida-Viru maakond,"0045","1"
Vinni vald,"0901",Lääne-Viru maakond,"0060","1"
Tartu vald,"0796",Tartu maakond,"0079","1"
Viljandi vald,"0899",Viljandi maakond,"0084","1"
Elva vald,"0171",Tartu maakond,"0079","1"
Haljala vald,"0191",Lääne-Viru maakond,"0060","1"
Põhja-Pärnumaa vald,"0638",Pärnu maakond,"0068","1"
Lääne-Harju vald,"0431",Harju maakond,"0037","1"
Lääne-Nigula vald,"0441",Lääne maakond,"0056","1"
Märjamaa vald,"0502",Rapla maakond,"0071","1"
Viru-Nigula vald,"0903",Lääne-Viru maakond,"0060","1"
Rapla vald,"0668",Rapla maakond,"0071","1"
Türi vald,"0834",Järva maakond,"0052","1"
Kose vald,"0338",Harju maakond,"0037","1"
Rõuge vald,"0698",Võru maakond,"0087","1"
Valga vald,"0855",Valga maakond,"0081","1"
Mulgi vald,"0480",Viljandi maakond,"0084","1"
Põltsamaa vald,"0618",Jõgeva maakond,"0050","1"
Tartu linn,"0793",Tartu maakond,"0079","4"
