AdminUnitName,PartyName,PartyCode,Forename,Surname,CandidateRegNumber,Name,Value
Ruhnu vald,Erakond Parempoolsed,PP,KRISTJAN,VANASELJA,156,K,2
Ruhnu vald,Erakond Parempoolsed,PP,KRISTJAN,VANASELJA,156,P,0
Ruhnu vald,Erakond Parempoolsed,PP,KRISTJAN,VANASELJA,156,E,2
Ruhnu vald,Erakond Parempoolsed,PP,KRISTJAN,VANASELJA,156,J1,0
Ruhnu vald,Erakond Parempoolsed,PP,INGA,KUPP-SILBERG,157,K,2
Ruhnu vald,Erakond Parempoolsed,PP,INGA,KUPP-SILBERG,157,P,0
Ruhnu vald,Erakond Parempoolsed,PP,INGA,KUPP-SILBERG,157,E,2
Ruhnu vald,Erakond Parempoolsed,PP,INGA,KUPP-SILBERG,157,J1,0
Ruhnu vald,Erakond Parempoolsed,PP,TOOMAS,KASEMAA,158,K,1
Ruhnu vald,Erakond Parempoolsed,PP,TOOMAS,KASEMAA,158,P,0
Ruhnu vald,Erakond Parempoolsed,PP,TOOMAS,KASEMAA,158,E,1
Ruhnu vald,Erakond Parempoolsed,PP,TOOMAS,KASEMAA,158,J1,0
Ruhnu vald,Erakond Parempoolsed,PP,TIIU,NIGUL,159,K,0
Ruhnu vald,Erakond Parempoolsed,PP,TIIU,NIGUL,159,P,0
Ruhnu vald,Erakond Parempoolsed,PP,TIIU,NIGUL,159,E,0
Ruhnu vald,Erakond Parempoolsed,PP,TIIU,NIGUL,159,J1,0
Ruhnu vald,Erakond Parempoolsed,PP,TÕNU,LIIVO,160,K,0
Ruhnu vald,Erakond Parempoolsed,PP,TÕNU,LIIVO,160,P,0
Ruhnu vald,Erakond Parempoolsed,PP,TÕNU,LIIVO,160,E,0
Ruhnu vald,Erakond Parempoolsed,PP,TÕNU,LIIVO,160,J1,0
Ruhnu vald,Erakond Parempoolsed,PP,KERLI,ELBRECHT,161,K,0
Ruhnu vald,Erakond Parempoolsed,PP,KERLI,ELBRECHT,161,P,0
Ruhnu vald,Erakond Parempoolsed,PP,KERLI,ELBRECHT,161,E,0
Ruhnu vald,Erakond Parempoolsed,PP,KERLI,ELBRECHT,161,J1,0
Ruhnu vald,Erakond Parempoolsed,PP,MIHKEL,PALK,162,K,0
Ruhnu vald,Erakond Parempoolsed,PP,MIHKEL,PALK,162,P,0
Ruhnu vald,Erakond Parempoolsed,PP,MIHKEL,PALK,162,E,0
Ruhnu vald,Erakond Parempoolsed,PP,MIHKEL,PALK,162,J1,0
Ruhnu vald,Erakond Parempoolsed,PP,JAAN MIHKEL,UUSTALU,163,K,0
Ruhnu vald,Erakond Parempoolsed,PP,JAAN MIHKEL,UUSTALU,163,P,0
Ruhnu vald,Erakond Parempoolsed,PP,JAAN MIHKEL,UUSTALU,163,E,0
Ruhnu vald,Erakond Parempoolsed,PP,JAAN MIHKEL,UUSTALU,163,J1,0
Ruhnu vald,Erakond Eestimaa Rohelised,ROH,ALEKSEI,LOTMAN,253,K,2
Ruhnu vald,Erakond Eestimaa Rohelised,ROH,ALEKSEI,LOTMAN,253,P,1
Ruhnu vald,Erakond Eestimaa Rohelised,ROH,ALEKSEI,LOTMAN,253,E,1
Ruhnu vald,Erakond Eestimaa Rohelised,ROH,ALEKSEI,LOTMAN,253,J1,1
